id,stem,option1,option2,option3,option4,option5,option6,answer1,answer2,answer1_base,answer2_base
1302,The knowledgeable reader is unlikely to find the thesis of the article to be _______ because variations of it have been uttered with increasing frequency by an ever-growing number of scientists for more than 30 years.,surprising,confusing,enervating,startling,boring,uninteresting,surprising,startling,surprising,startling
1303,"Although genetic mutation had been fingered as the cause of the disease, recent experimental results have muddied the picture, making the link between mutation and disease seem more _______ than it once did.",inexorable,insidious,enigmatic,mysterious,tenuous,implacable,enigmatic,mysterious,enigmatic,mysterious
1304,"When urged to give up his place in line, the child initially _______ but eventually acquiesced.",retaliated,capitulated,commiserated,remonstrated,complied,protested,remonstrated,protested,remonstrate,protest
1305,"A study of mice now hints that a lack of vitamin A causes learning and memory problems, albeit only _______ ones.",conditional,unpredictable,unforeseen,impermanent,mundane,reversible,impermanent,reversible,impermanent,reversible
1306,"In the end, it is obviously impossible to _______ the more important details in the adventurer's memoirs, though the book does strike most readers—as well as knowledgeable scholars—as a basically reliable account of an extraordinary life.",distinguish,verify,emphasize,deduce,underscore,corroborate,verify,corroborate,verify,corroborate
1307,"Selling a product with no known or even _______ substitute and with an ever-growing demand for it seems as if it would be quite lucrative, but in fact the three biggest private-sector water companies in the world are eager to get out of the business.",recognized,practicable,profitable,acknowledged,imaginable,conceivable,imaginable,conceivable,imaginable,conceivable
1308,"The extraction of ancient DNA from fossilized remains is often _______ because as an organism decomposes, its DNA gradually comes to be replaced by the DNA of the organisms that feed on it.",unnecessary,arduous,oblique,laborious,protracted,superfluous,arduous,laborious,arduous,laborious
1309,"The problem a generation ago was not the new art itself but the heightened intensity of conviction surrounding it, which is thankfully absent in our wonderfully _______ times.",fervid,impassioned,undogmatic,receptive,nostalgic,optimistic,undogmatic,receptive,undogmatic,receptive
1310,"The _______ parts of the book threaten to disappear beneath repetitive and familiar depictions of the city as a really busy, crowded, and diverse place.",well-researched,mundane,original,innovative,polemical,commonplace,original,innovative,original,innovative
1311,"Despite its stellar performances, the film is _______: it seems mysteriously incomplete in essential ways, yet feels repetitive at the same time.",wanting,dull,offensive,curious,distasteful,peculiar,curious,peculiar,curious,peculiar
1312,"The author seemingly cannot resist detours into side obsessions, but even when his writing is not entirely _______, it is almost always entertaining.",droll,germane,apropos,gratifying,authentic,trenchant,germane,apropos,germane,apropos
1313,"With its many islands, the Pacific Ocean had from early times been the habitat of _______ civilizations—ones that had mastered the skills of sea travel.",expansionist,nautical,cloistered,migratory,isolated,maritime,nautical,maritime,nautical,maritime
1314,"Far from being a sign of intellectual _______, the capacity to err, according to Schulz, is crucial to human cognition.",development,prowess,progress,inferiority,naïveté,weakness,inferiority,weakness,inferiority,weakness
1315,"The artist’s apparently casual, improvisatory pictures are not the _______ renditions they may seem; her pictures are, in fact, the result of a highly disciplined style.",calculated,rigorous,offhand,precise,extempore,defiant,offhand,extempore,offhand,extempore
1316,"Though mathematics is _______, like language, it has its roots in the mud of everyday embodied experience; one such root is counting.",essential,indispensable,abstract,theoretical,prescriptive,functional,abstract,theoretical,abstract,theoretical
1317,The _______ diction of the short Somali poetry form known as balwo was well suited for political purposes: invective could easily be hidden in an apparent love poem.,cryptic,enigmatic,romantic,iconoclastic,irreverent,nuanced,cryptic,enigmatic,cryptic,enigmatic
1318,"Surprisingly, although the textbooks are filled with pages of vocabulary and unnecessary detail, their treatment of some fundamentally important concepts is _______.",prolix,piecemeal,verbose,fragmentary,abstruse,succinct,piecemeal,fragmentary,piecemeal,fragmentary
1319,"Ultimately, all conservation is local and it is rarely practical, even if it were morally justifiable, to enforce conservation regulations in the face of widespread local _______.",confusion,indifference,antagonism,hostility,hesitation,intransigence,antagonism,hostility,antagonism,hostility
1320,"Much honored for her work in both theater and film, the director was prolific—too much so, according to some critics who thought she sometimes took on projects _______.",haphazardly,unprofitably,indiscriminately,unflaggingly,inappropriately,prematurely,haphazardly,indiscriminately,haphazardly,indiscriminately
1321,"Like many other former student radicals who have discovered an aptitude for business, Mr. Schwartz has not so much outgrown his student _______ as transferred it to the new subject of technology.",fecklessness,energy,iconoclasm,futility,unorthodoxy,earnestness,iconoclasm,unorthodoxy,iconoclasm,unorthodoxy
1322,"Indian physicist Meghnad Saha is an example of _______: facing discrimination because of his humble background, he went on to establish the journal Science and Culture to disseminate scientific knowledge without regard for class hierarchies.",originality,serendipity,equanimity,precocity,tenacity,doggedness,tenacity,doggedness,tenacity,doggedness
1323,"Tao Zhu and Yaobin Lu found that personality traits can affect user adoption of mobile commerce, suggesting that a mobile service provider could benefit from _______ the market, specifically targeting extroverts, for instance.",partitioning,saturating,blanketing,cornering,penetrating,segmenting,partitioning,segmenting,partition,segment
